label|engine|model|spec|prompt|prefill_tps|decode_tps|prompt_toks|completion_toks|hardware|notes
gemma4-31b-4bit/mlx-serve-gguf/none|mlx-serve|/Users/david/.lmstudio/models/lmstudio-community/gemma-4-31B-it-GGUF/gemma-4-31B-it-Q4_K_M.gguf|none|decode|0|15.5|0|128|Apple-M4-Max-128gb|
gemma4-31b-4bit/mlx-serve-gguf/none|mlx-serve|/Users/david/.lmstudio/models/lmstudio-community/gemma-4-31B-it-GGUF/gemma-4-31B-it-Q4_K_M.gguf|none|echo|0|16.5|0|81|Apple-M4-Max-128gb|
gemma4-31b-4bit/mlx-serve-gguf/none|mlx-serve|/Users/david/.lmstudio/models/lmstudio-community/gemma-4-31B-it-GGUF/gemma-4-31B-it-Q4_K_M.gguf|none|code|0|16.8|0|128|Apple-M4-Max-128gb|
qwen36-27b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|none|prefill|240.3|0|853|1|Apple-M4-Max-128gb|
qwen36-27b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|none|decode|0|28.9|0|128|Apple-M4-Max-128gb|
qwen36-27b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|none|echo|0|28.8|0|86|Apple-M4-Max-128gb|
qwen36-27b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|none|code|0|28.7|0|128|Apple-M4-Max-128gb|
qwen36-27b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|pld|prefill|239.9|0|853|1|Apple-M4-Max-128gb|
qwen36-27b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|pld|decode|0|27.4|0|128|Apple-M4-Max-128gb|
qwen36-27b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|pld|echo|0|47.4|0|86|Apple-M4-Max-128gb|
qwen36-27b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|pld|code|0|27.0|0|128|Apple-M4-Max-128gb|
qwen36-27b/mlx-serve-gguf/none|mlx-serve|/Users/david/.lmstudio/models/lmstudio-community/Qwen3.6-27B-GGUF/Qwen3.6-27B-Q4_K_M.gguf|none|prefill|236.0|0|853|1|Apple-M4-Max-128gb|
qwen36-27b/mlx-serve-gguf/none|mlx-serve|/Users/david/.lmstudio/models/lmstudio-community/Qwen3.6-27B-GGUF/Qwen3.6-27B-Q4_K_M.gguf|none|decode|0|23.0|0|128|Apple-M4-Max-128gb|
qwen36-27b/mlx-serve-gguf/none|mlx-serve|/Users/david/.lmstudio/models/lmstudio-community/Qwen3.6-27B-GGUF/Qwen3.6-27B-Q4_K_M.gguf|none|echo|0|23.1|0|86|Apple-M4-Max-128gb|
qwen36-27b/mlx-serve-gguf/none|mlx-serve|/Users/david/.lmstudio/models/lmstudio-community/Qwen3.6-27B-GGUF/Qwen3.6-27B-Q4_K_M.gguf|none|code|0|22.2|0|128|Apple-M4-Max-128gb|
qwen36-35b-a3b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|none|prefill|1555.6|0|854|1|Apple-M4-Max-128gb|
qwen36-35b-a3b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|none|decode|0|129.2|0|128|Apple-M4-Max-128gb|
qwen36-35b-a3b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|none|echo|0|127.9|0|93|Apple-M4-Max-128gb|
qwen36-35b-a3b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|none|code|0|128.2|0|128|Apple-M4-Max-128gb|
qwen36-35b-a3b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|pld|prefill|1544.3|0|854|1|Apple-M4-Max-128gb|
qwen36-35b-a3b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|pld|decode|0|109.4|0|128|Apple-M4-Max-128gb|
qwen36-35b-a3b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|pld|echo|0|206.3|0|86|Apple-M4-Max-128gb|
qwen36-35b-a3b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|pld|code|0|114.3|0|128|Apple-M4-Max-128gb|
qwen36-35b-a3b/mlx-serve-gguf/none|mlx-serve|/Users/david/.lmstudio/models/lmstudio-community/Qwen3.6-35B-A3B-GGUF/Qwen3.6-35B-A3B-Q4_K_M.gguf|none|prefill|1268.9|0|854|1|Apple-M4-Max-128gb|
qwen36-35b-a3b/mlx-serve-gguf/none|mlx-serve|/Users/david/.lmstudio/models/lmstudio-community/Qwen3.6-35B-A3B-GGUF/Qwen3.6-35B-A3B-Q4_K_M.gguf|none|decode|0|89.9|0|128|Apple-M4-Max-128gb|
qwen36-35b-a3b/mlx-serve-gguf/none|mlx-serve|/Users/david/.lmstudio/models/lmstudio-community/Qwen3.6-35B-A3B-GGUF/Qwen3.6-35B-A3B-Q4_K_M.gguf|none|echo|0|89.7|0|86|Apple-M4-Max-128gb|
qwen36-35b-a3b/mlx-serve-gguf/none|mlx-serve|/Users/david/.lmstudio/models/lmstudio-community/Qwen3.6-35B-A3B-GGUF/Qwen3.6-35B-A3B-Q4_K_M.gguf|none|code|0|89.4|0|128|Apple-M4-Max-128gb|
