label,spec,tier,model,family,use_case,temp,top_p,top_k,decode_tps,prefill_tps,ttft_s,prompt_toks,completion_toks
baseline,default,A4,Gemma 3 27B (4-bit),gemma,coding,1.0,0.95,64,31.8,514,0.091,47,256
baseline,default,A4,Gemma 3 27B (4-bit),gemma,math,1.0,0.95,64,29.2,1152,0.066,76,256
baseline,default,A4,Gemma 3 27B (4-bit),gemma,reasoning,1.0,0.95,64,31.0,821,0.094,77,256
baseline,default,A4,Gemma 3 27B (4-bit),gemma,tools,1.0,0.95,64,28000000.0,423,0.745,315,29
baseline,default,A4,Gemma 3 27B (4-bit),gemma,creative,1.0,0.95,64,30.9,392,0.094,37,256
baseline,default,B2,Llama 3.3 70B (4-bit),llama,coding,0.2,0.9,,9.3,327,0.226,74,256
baseline,default,B2,Llama 3.3 70B (4-bit),llama,math,0.2,0.9,,8.9,462,0.225,104,256
baseline,default,B2,Llama 3.3 70B (4-bit),llama,reasoning,0.2,0.9,,8.9,478,0.224,107,256
baseline,default,B2,Llama 3.3 70B (4-bit),llama,tools,0.2,0.9,,17.2,1117,0.325,363,16
baseline,default,B2,Llama 3.3 70B (4-bit),llama,creative,0.6,0.9,,9.1,303,0.224,68,256
baseline,default,ref,"Qwen3.6-27B (4-bit, MTP)",qwen36,coding,0.6,0.95,20,33.2,517,0.089,46,256
baseline,default,ref,"Qwen3.6-27B (4-bit, MTP)",qwen36,math,0.6,0.95,20,33.2,855,0.089,76,256
baseline,default,ref,"Qwen3.6-27B (4-bit, MTP)",qwen36,reasoning,0.6,0.95,20,33.2,888,0.089,79,256
baseline,default,ref,"Qwen3.6-27B (4-bit, MTP)",qwen36,tools,0.6,0.95,20,30.5,8408,0.065,548,67
baseline,default,ref,"Qwen3.6-27B (4-bit, MTP)",qwen36,creative,1.0,0.95,20,33.2,450,0.089,40,256
baseline,default,ref,"Gemma 4 26B-A4B (4-bit, MoE)",gemma,coding,1.0,0.95,64,127.1,2109,0.024,50,256
baseline,default,ref,"Gemma 4 26B-A4B (4-bit, MoE)",gemma,math,1.0,0.95,64,117.0,4422,0.018,79,256
baseline,default,ref,"Gemma 4 26B-A4B (4-bit, MoE)",gemma,reasoning,1.0,0.95,64,126.8,3368,0.024,80,256
baseline,default,ref,"Gemma 4 26B-A4B (4-bit, MoE)",gemma,tools,1.0,0.95,64,108.3,5352,0.055,292,50
baseline,default,ref,"Gemma 4 26B-A4B (4-bit, MoE)",gemma,creative,1.0,0.95,64,127.2,1688,0.024,40,256
baseline,default,small,Qwen3-8B (8-bit),qwen3,coding,0.6,0.95,20,62.4,1032,0.045,46,256
baseline,default,small,Qwen3-8B (8-bit),qwen3,math,0.6,0.95,20,62.4,1700,0.045,76,256
baseline,default,small,Qwen3-8B (8-bit),qwen3,reasoning,0.6,0.95,20,62.4,1770,0.045,79,256
baseline,default,small,Qwen3-8B (8-bit),qwen3,tools,0.6,0.95,20,52.5,10139,0.038,381,46
baseline,default,small,Qwen3-8B (8-bit),qwen3,creative,0.7,0.8,20,62.4,898,0.045,40,256
baseline,default,small,Gemma 4 E4B (4-bit),gemma,coding,1.0,0.95,64,129.8,2145,0.021,46,256
baseline,default,small,Gemma 4 E4B (4-bit),gemma,math,1.0,0.95,64,124.9,4366,0.017,75,256
baseline,default,small,Gemma 4 E4B (4-bit),gemma,reasoning,1.0,0.95,64,129.6,3543,0.021,76,256
baseline,default,small,Gemma 4 E4B (4-bit),gemma,tools,1.0,0.95,64,111.1,15054,0.019,292,46
baseline,default,small,Gemma 4 E4B (4-bit),gemma,creative,1.0,0.95,64,130.1,1675,0.021,36,256
baseline,default,small,Qwen3-4B (4-bit),qwen3,coding,0.6,0.95,20,175.8,2926,0.016,46,256
baseline,default,small,Qwen3-4B (4-bit),qwen3,math,0.6,0.95,20,175.6,4733,0.016,76,256
baseline,default,small,Qwen3-4B (4-bit),qwen3,reasoning,0.6,0.95,20,175.5,5018,0.016,79,256
baseline,default,small,Qwen3-4B (4-bit),qwen3,tools,0.6,0.95,20,148.2,16111,0.033,381,72
baseline,default,small,Qwen3-4B (4-bit),qwen3,creative,0.7,0.8,20,176.1,2668,0.015,40,256
